,district,fiyat,,update_date,m2_brut,bina_yasi,kat_sayisi,kullanim_durumu,banyo_sayisi,creation_date,Type,m2_net,oda_sayisi,bulundugu_kat,isitma_tip,site
0,adalar,"3,100,000TL",,24 Şubat 2022,160 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,2,24 Şubat 2022,Konut,120 m2,3+1,Çatı Katı,Kombi Doğalgaz,Hayır
1,adalar,"1,600,000TL",,02 Mart 2022,120 m2,10-May,3,Mülk Sahibi Oturuyor,1,21 Şubat 2022,Konut,100 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır
2,adalar,"18,500,000TL",,11 Şubat 2022,350 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,3,11 Şubat 2022,Konut,300 m2,3+1,Düz Giriş,Kombi Doğalgaz,Hayır
3,adalar,"9,500,000TL",,11 Şubat 2022,550 m2,15-Nov,3,Mülk Sahibi Oturuyor,4,03 Şubat 2022,Konut,540 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Hayır
4,adalar,"25,000,000TL",,19 Ocak 2022,840 m2,21 Ve Üzeri,4,Boş,3,19 Ocak 2022,Konut,700 m2,8+ Oda,Düz Giriş,Isıtma Yok,Hayır
5,adalar,"7,000,000TL",,17 Ocak 2022,200 m2,21 Ve Üzeri,2,Boş,1,17 Ocak 2022,Konut,170 m2,3+2,Düz Giriş,Isıtma Yok,Hayır
6,adalar,"3,250,000TL",,27 Şubat 2022,400 m2,21 Ve Üzeri,3,Kiracı Oturuyor,5,12 Ocak 2022,Konut,370 m2,8+ Oda,Bahçe Dublex,Sobalı,Hayır
7,adalar,"2,850,000TL",,22 Şubat 2022,250 m2,21 Ve Üzeri,2,Boş,2,11 Ocak 2022,Konut,200 m2,5+1,Villa Tipi,Isıtma Yok,Hayır
8,adalar,"8,350,000TL",,16 Aralık 2021,360 m2,21 Ve Üzeri,2,Boş,2,16 Aralık 2021,Konut,240 m2,5+1,Düz Giriş,Kombi Doğalgaz,Hayır
9,adalar,"10,800,000TL",,16 Aralık 2021,180 m2,21 Ve Üzeri,2,Boş,1,16 Aralık 2021,Konut,140 m2,5 Oda,Düz Giriş,Kombi Doğalgaz,Hayır
10,adalar,"2,200,000TL",,16 Aralık 2021,125 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,2,16 Aralık 2021,Konut,100 m2,2+2,1. Kat,Kombi Doğalgaz,Hayır
11,adalar,"1,000,000TL",,09 Aralık 2021,140 m2,21 Ve Üzeri,2,Boş,2,09 Aralık 2021,Konut,100 m2,2+1,Düz Giriş,Isıtma Yok,Hayır
12,adalar,"8,250,000TL",,07 Aralık 2021,260 m2,21 Ve Üzeri,3,Boş,4,07 Aralık 2021,Konut,240 m2,7+3,Düz Giriş,Kombi Doğalgaz,Hayır
13,adalar,"4,885,000TL",,19 Ocak 2022,500 m2,21 Ve Üzeri,2,Kiracı Oturuyor,4,21 Kasım 2021,Konut,472 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Hayır
14,adalar,"34,550,000TLarrow_downward%3",,12 Ocak 2022,430 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,3,12 Kasım 2021,Konut,350 m2,8+ Oda,Villa Tipi,Klimalı,Hayır
15,adalar,"2,915,000TL",,26 Aralık 2021,130 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,2,10 Kasım 2021,Konut,110 m2,2+1,Müstakil,Kat Kaloriferi,Hayır
16,adalar,"885,000TL",,18 Kasım 2021,75 m2,21 Ve Üzeri,3,Boş,1,10 Kasım 2021,Konut,60 m2,1+1,Bahçe Katı,Kat Kaloriferi,Hayır
17,adalar,"9,500,000TL",,29 Ekim 2021,550 m2,15-Nov,3,Boş,4,29 Ekim 2021,Konut,540 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Hayır
18,adalar,"2,600,000TL",,20 Ekim 2021,250 m2,21 Ve Üzeri,2,Kiracı Oturuyor,3,19 Ekim 2021,Konut,230 m2,5+3,Düz Giriş,Kombi Doğalgaz,Hayır
19,adalar,"3,100,000TL",,20 Ekim 2021,250 m2,21 Ve Üzeri,3,Boş,Yok,19 Ekim 2021,Konut,249 m2,1 Oda,Düz Giriş,Isıtma Yok,Hayır
20,adalar,"4,200,000TL",,24 Eylül 2021,682 m2,21 Ve Üzeri,2,Boş,3,24 Eylül 2021,Konut,150 m2,6+1,Müstakil,Isıtma Yok,Hayır
21,adalar,"4,200,000TL",,24 Eylül 2021,682 m2,21 Ve Üzeri,2,Boş,4,24 Eylül 2021,Konut,150 m2,6+1,Müstakil,Isıtma Yok,Hayır
22,adalar,"9,000,000TL",,29 Eylül 2021,550 m2,15-Nov,3,Boş,1,17 Eylül 2021,Konut,530 m2,4+2,3. Kat,Kombi Doğalgaz,Hayır
23,adalar,"9,000,000TL",,01 Ekim 2021,550 m2,15-Nov,2,Boş,Yok,20 Ağustos 2021,Konut,549 m2,1 Oda,Düz Giriş,Isıtma Yok,Hayır
24,adalar,"21,000,000TL",,09 Şubat 2022,2.250 m2,21 Ve Üzeri,3,Boş,4,22 Temmuz 2021,Konut,2.000 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Hayır
25,adalar,"3,250,000TL",,27 Şubat 2022,180 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,1,11 Temmuz 2021,Konut,170 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
26,arnavutkoy,"515,000TL",,02 Mart 2022,100 m2,2,4,Kiracı Oturuyor,1,25 Şubat 2022,Konut,90 m2,2+1,Bahçe Dublex,Kombi Doğalgaz,Hayır
27,arnavutkoy,"1,000,000TL",,01 Mart 2022,200 m2,0 (Yeni),5,Boş,2,23 Şubat 2022,Konut,180 m2,4+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
28,arnavutkoy,"506,000TL",,24 Şubat 2022,100 m2,10-May,5,Boş,2,23 Şubat 2022,Konut,90 m2,2+1,Bahçe Dublex,Kombi Doğalgaz,Hayır
29,arnavutkoy,"660,000TLarrow_downward%3",,24 Şubat 2022,90 m2,10-May,4,Mülk Sahibi Oturuyor,1,03 Şubat 2022,Konut,80 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
30,arnavutkoy,"1,250,000TLarrow_downward%90",,01 Mart 2022,260 m2,0 (Yeni),5,Boş,2,04 Ocak 2022,Konut,250 m2,5+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
31,arnavutkoy,"420,000TLarrow_downward%90",,02 Mart 2022,100 m2,0 (Yeni),5,Boş,1,04 Ocak 2022,Konut,90 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır
32,arnavutkoy,"765,000TL",,28 Şubat 2022,180 m2,0 (Yeni),2,Boş,2,02 Ocak 2022,Konut,165 m2,4+1,2. Kat,Kombi Doğalgaz,Hayır
33,arnavutkoy,"765,000TL",,28 Şubat 2022,180 m2,0 (Yeni),2,Boş,2,02 Ocak 2022,Konut,165 m2,4+1,2. Kat,Kombi Doğalgaz,Hayır
34,arnavutkoy,"480,000TL",,01 Mart 2022,85 m2,3,4,Mülk Sahibi Oturuyor,1,01 Mart 2022,Konut,70 m2,1+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
35,arnavutkoy,"715,000TL",,01 Mart 2022,105 m2,4,4,Mülk Sahibi Oturuyor,1,01 Mart 2022,Konut,100 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
